Команда (HEX);Размер параметра команды (DEC);Тип параметра команды;Значения параметра команды (DEC);Описание команды;Размер параметра ответа (DEC);Тип параметра ответа;Значения параметра ответа (DEC);Описание ответа;Комментарии
;;;;;;;0;чек не открыт;
;;;;;;;1;чек открыт;
ff;;;;Запрос информации о ККТ;;;;Запрос информации о ККТ;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;16;string;;Модель ККТ;
;;;;;16;string;;Версия прошивки;
;;;;;20;string;;Заводской номер ККТ;
04;;;;Запрос значений семейства параметров;;;;Запрос значений семейства параметров;
;4;password;;пароль оператора;2;error#;;код ошибки;
;2;number;;Номер семейства параметров для получения данных;1;number;;порядковый номер оператора;
;;;;;?;data;;Значения семейства параметров;
05;;;;Записать значения семейства параметров;;;;Записать значения семейства параметров;
;4;password;;пароль оператора;2;error#;;код ошибки;
;2;number;;Номер семейства параметров для получения данных;1;number;;порядковый номер оператора;
;?;data;;Значения семейства параметров для записи;;;;;
09;;;;Запрос строки значений из таблиц параметров;;;;Запрос строки значений из таблиц параметров;
;4;password;;пароль оператора;2;error#;;код ошибки;
;2;number;;Номер семейства параметров для получения данных;1;number;;порядковый номер оператора;
;2;number;;Номер строки для получения данных;?;data;;Значения строки параметров;
0a;;;;Записать строку значений таблицы параметров;;;;Записать строку значений таблицы параметров;
;4;password;;пароль оператора;2;error#;;код ошибки;
;2;number;;Номер семейства параметров для получения данных;1;number;;порядковый номер оператора;
;2;number;;Номер строки для получения данных;;;;;
;?;data;;Значения параметров для записи;;;;;
